Fe,Cr,Mo,T,NP_BCC_A2,NP_CHI_A12,NP_FCC_A1,NP_LAVES_PHASE,NP_LIQUID,NP_MU_PHASE,NP_MU_PHASE_I,NP_R_PHASE,NP_SIGMA,GM,HM,SM,CPM,converged,in_stainless_box
0.5206176584905001,0.4076738627412595,0.07170847876824038,802.001167855418,0.13490982008109456,0.0,0.0,0.1199082856545173,0.0,0.0,0.0,0.0,0.7451818941491605,-30329.875958187957,0.0,0.0,0.0,True,0
0.6606416505067255,0.09972730391563117,0.23963104557764325,1451.7121754540606,0.3548519360535595,0.0,0.0,0.0,0.0,0.0,0.0,0.6451480639361166,0.0,-81002.61089959176,0.0,0.0,0.0,True,1
0.4061246690995219,0.4134623332465216,0.18041299765395652,1545.8057597589027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,-88344.62895267314,0.0,0.0,0.0,True,0
0.4898249240744853,0.4028105232985585,0.10736455262695621,1023.8349474283302,0.0,0.2222010128274232,0.0,0.0,0.0,0.0,0.0,0.0,0.7777989871876475,-45818.040997998265,0.0,0.0,0.0,True,0
0.5431509937119806,0.2368052963599451,0.22004370992807434,906.6338829853638,0.0,0.0,0.0,0.5984868579879951,0.0,0.0,0.0,0.0,0.4015131495340743,-38899.10745761307,0.0,0.0,0.0,True,0
0.848061357651882,0.13408186487220308,0.017856777475914968,1351.6031463841591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71240.918773056,0.0,0.0,0.0,True,1
0.6045533830335778,0.34357263599301846,0.05187398097340379,1087.4690598171867,0.20978797318329495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.790212026816546,-50292.93145732586,0.0,0.0,0.0,True,0
0.9874870547224648,0.01165947358929531,0.0008534716882398597,1134.1231237113107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52156.13145104579,0.0,0.0,0.0,True,1
0.9699928987107475,0.017343247460742086,0.012663853828510475,1356.3132406709765,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-70055.59658446026,0.0,0.0,0.0,True,1
0.7916528876043354,0.16481457756482198,0.043532534830842594,1429.2085180656702,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78432.23258049588,0.0,0.0,0.0,True,1
