Fe,Mn,Ni,T,NP_ALPHA_MN,NP_BCC_A2,NP_BETA_MN,NP_FCC_A1,NP_LIQUID,NP_MNNI,NP_MNNI2,GM,HM,SM,CPM,converged,in_stainless_box
0.5431509937119806,0.2368052963599451,0.22004370992807434,906.6338829853638,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,-47880.55750679059,0.0,0.0,0.0,True,0
0.848061357651882,0.13408186487220308,0.017856777475914968,1351.6031463841591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-75291.28972413548,0.0,0.0,0.0,True,1
0.6045533830335778,0.34357263599301846,0.05187398097340379,1087.4690598171867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-59085.40028623179,0.0,0.0,0.0,True,0
0.9874870547224648,0.01165947358929531,0.0008534716882398597,1134.1231237113107,0.0,0.0,0.0,0.9999999999893132,0.0,0.0,0.0,-52431.978687095085,0.0,0.0,0.0,True,1
0.9699928987107475,0.017343247460742086,0.012663853828510475,1356.3132406709765,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,-70896.54194590937,0.0,0.0,0.0,True,1
0.7916528876043354,0.16481457756482198,0.043532534830842594,1429.2085180656702,0.0,0.0,0.0,0.9999999999999994,0.0,0.0,0.0,-84125.68730261619,0.0,0.0,0.0,True,1
0.5981818181818183,0.08636363636363635,0.31545454545454543,1700.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,-113772.334497885,0.0,0.0,0.0,True,0
0.9665587121578259,0.0042778761539076894,0.029163411688266402,887.3795633605092,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,-36123.31469557217,0.0,0.0,0.0,True,1
0.26232182932149295,0.07637650247112085,0.6613016682073862,1881.3976719424172,0.0,0.0,0.0,0.0,1.000000000000001,0.0,0.0,-133222.19715944314,0.0,0.0,0.0,True,0
0.7581521526363209,0.10652734984999017,0.13532049751368908,1845.211579749573,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,-125538.24455718663,0.0,0.0,0.0,True,1
0.44717280684838345,0.23997532027414153,0.31285187287747507,1368.4268918737516,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,-88047.46701933583,0.0,0.0,0.0,True,0
0.3294743392472295,0.622584416133744,0.047941244619026435,820.4161513645657,0.11649411919577968,0.0,0.0,0.8835058808084897,0.0,0.0,0.0,-40011.016005708065,0.0,0.0,0.0,True,0
