Fe,Cr,Ni,T,NP_BCC_A2,NP_FCC_A1,NP_LIQUID,NP_SIGMA,GM,HM,SM,CPM,converged
0.7537774537225957,0.20480964112533795,0.041412905152066325,879.8882702251466,0.786726980766323,0.14516495614240335,0.0,0.06810806323180327,-36335.57783139751,0.0,0.0,0.0,True
0.557170530573055,0.41789635116628937,0.0249331182606556,778.9638438709761,0.23093704182278899,0.0,0.0,0.7690629581756444,-28773.86804082625,0.0,0.0,0.0,True
0.7093403854809555,0.25670736962253327,0.033952244896511316,874.736717565699,0.7243789970028833,0.0,0.0,0.2756210029853641,-35679.03805782478,0.0,0.0,0.0,True
0.28028329761720205,0.30923050208513947,0.4104862002976585,1096.1992275017283,0.0,1.0000000000000004,0.0,0.0,-56854.02919962235,0.0,0.0,0.0,True
0.44545454545454555,0.5445454545454544,0.01,1300.0,0.9999999999999996,0.0,0.0,0.0,-65059.62436357047,0.0,0.0,0.0,True
0.6803874997187491,0.017143008352892945,0.302469491928358,1837.8550147606413,0.0,0.0,1.0,0.0,-122614.45875575842,0.0,0.0,0.0,True
0.06268643277905273,0.5742977327881599,0.3630158344327874,1635.449422995434,0.7100578790922283,0.28994212090714633,0.0,0.0,-94662.81501649396,0.0,0.0,0.0,True
0.28115480286526917,0.6195608630442625,0.0992843340904683,1124.5037599899917,0.49797887982767963,0.11437408362753942,0.0,0.3876470365348461,-52106.75418249634,0.0,0.0,0.0,True
0.9365251328930577,0.03923284587273413,0.024242021234208155,1288.5455483517087,0.0,0.9999999999999998,0.0,0.0,-65972.17995197716,0.0,0.0,0.0,True
0.5512695170985091,0.3640318096764871,0.08469867322500382,753.8369877122033,0.17293807276493742,0.1646139154696995,0.0,0.6624480117034643,-28446.60281137698,0.0,0.0,0.0,True
0.6312366276040275,0.2350823814782785,0.13368099091769398,884.0423497458219,0.0,0.7829913891431659,0.0,0.2170086108609502,-38530.74164709872,0.0,0.0,0.0,True
0.42049366506053243,0.38155725670937435,0.1979490782300932,1172.3847070319894,0.0,0.5812457269774227,0.0,0.4187542730286491,-60130.19648267038,0.0,0.0,0.0,True
0.035881506499576776,0.20735435182320042,0.7567641416772228,1152.755338981344,0.0,1.0000000000000002,0.0,0.0,-60511.25575428728,0.0,0.0,0.0,True
0.6626987375592533,0.25894207672425607,0.07835918571649061,1152.8852831549736,0.0,0.8105398897905335,0.0,0.18946011021757325,-57392.110537498564,0.0,0.0,0.0,True
0.6207554169067238,0.18449255043765406,0.19475203265562224,1523.0939367881222,0.0,0.9999999999999999,0.0,0.0,-92076.84892852075,0.0,0.0,0.0,True
0.6648022703032695,0.10339561150092755,0.2318021181958029,1555.3273848920664,0.0,1.0000000000000007,0.0,0.0,-95635.16195740542,0.0,0.0,0.0,True
0.36354644392540425,0.1327773105091686,0.5036762455654271,938.1887643183228,0.0,0.9999999999999998,0.0,0.0,-47360.80067189821,0.0,0.0,0.0,True
0.2688503869553739,0.34824730037417934,0.38290231267044683,1653.348302872356,0.0,1.0000000000000002,0.0,0.0,-103789.21155730737,0.0,0.0,0.0,True
0.40011516721770435,0.4497654486989285,0.1501193840833672,1324.2887924795468,0.5833570799478532,0.4166429200528511,0.0,0.0,-70928.88214714783,0.0,0.0,0.0,True
0.14132991755122667,0.8345293292832805,0.024140753165492836,1407.2457561808544,1.0000000000000002,0.0,0.0,0.0,-68675.67635144391,0.0,0.0,0.0,True
0.48325444321643296,0.40629070241301457,0.1104548543705525,709.717837659469,0.6334682528991886,0.3665317470997635,0.0,0.0,-25953.24786183151,0.0,0.0,0.0,True
0.5390081668445309,0.33791372166878886,0.12307811148668027,974.8449930549061,0.0,0.4509861811252893,0.0,0.549013818871098,-44386.18328764082,0.0,0.0,0.0,True
0.9146963859507387,0.0723606397574508,0.012942974291810547,879.6942698697335,1.0,0.0,0.0,0.0,-35739.51602079737,0.0,0.0,0.0,True
0.6235263183799178,0.2704675590502371,0.1060061225698451,956.2036903426149,0.0,0.669750248686545,0.0,0.3302497513083048,-43027.83266511994,0.0,0.0,0.0,True
0.6470566828680464,0.34659725732430907,0.0063460598076445236,1049.5477162126624,0.7518969119887134,0.0,0.0,0.2481030881539385,-46918.964755267734,0.0,0.0,0.0,True
